section,carat_band_from,carat_band_to,color,clarity,base_price_usd_per_carat,is_active
,2.5,3.0,E,VVS2,100,True
,3.0,3.5,E,VVS2,100,True
,3.5,4.0,E,VVS2,0,True
,4.0,4.5,E,VVS2,0,True
,4.5,5.0,E,VVS2,0,True
,5.0,5.01,E,VVS2,0,False
,1.0,1.5,E,VS1,95,True
,1.5,2.0,E,VS1,98,True
,2.0,2.5,E,VS1,98,True
,2.5,3.0,E,VS1,98,True
,3.0,3.5,E,VS1,98,True
,3.5,4.0,E,VS1,100,True
,4.0,4.5,E,VS1,100,True
,4.5,5.0,E,VS1,105,True
,5.0,5.01,E,VS1,105,False
,1.0,1.5,E,VS2,0,True
,1.5,2.0,E,VS2,0,True
,2.0,2.5,E,VS2,0,True
,2.5,3.0,E,VS2,0,True
,3.0,3.5,E,VS2,0,True
,3.5,4.0,E,VS2,0,True
,4.0,4.5,E,VS2,0,True
,4.5,5.0,E,VS2,0,True
,5.0,5.01,E,VS2,0,False
,1.0,1.5,F,IF,150,True
,1.5,2.0,F,IF,150,True
,2.0,2.5,F,IF,0,True
,2.5,3.0,F,IF,0,True
,3.0,3.5,F,IF,0,True
,3.5,4.0,F,IF,0,True
,4.0,4.5,F,IF,0,True
,4.5,5.0,F,IF,0,True
,5.0,5.01,F,IF,0,False
,1.0,1.5,F,VVS1,115,True
,1.5,2.0,F,VVS1,135,True
,2.0,2.5,F,VVS1,145,True
,2.5,3.0,F,VVS1,155,True
,3.0,3.5,F,VVS1,155,True
,3.5,4.0,F,VVS1,0,True
,4.0,4.5,F,VVS1,0,True
,4.5,5.0,F,VVS1,175,True
,5.0,5.01,F,VVS1,170,False
,1.0,1.5,F,VVS2,100,True
,1.5,2.0,F,VVS2,100,True
,2.0,2.5,F,VVS2,100,True
,2.5,3.0,F,VVS2,100,True
,3.0,3.5,F,VVS2,100,True
,3.5,4.0,F,VVS2,100,True
,4.0,4.5,F,VVS2,105,True
,4.5,5.0,F,VVS2,105,True
,5.0,5.01,F,VVS2,102,False
,1.0,1.5,F,VS1,95,True
,1.5,2.0,F,VS1,95,True
,2.0,2.5,F,VS1,95,True
,2.5,3.0,F,VS1,95,True
,3.0,3.5,F,VS1,95,True
,3.5,4.0,F,VS1,98,True
,4.0,4.5,F,VS1,100,True
,4.5,5.0,F,VS1,100,True
,5.0,5.01,F,VS1,100,False
,1.0,1.5,F,VS2,0,True
,1.5,2.0,F,VS2,0,True
,2.0,2.5,F,VS2,0,True
,2.5,3.0,F,VS2,0,True
,3.0,3.5,F,VS2,0,True
,3.5,4.0,F,VS2,0,True
,4.0,4.5,F,VS2,0,True
,4.5,5.0,F,VS2,0,True
,5.0,5.01,F,VS2,0,False
,1.0,1.5,G,IF,0,True
,1.5,2.0,G,IF,0,True
,2.0,2.5,G,IF,0,True
,2.5,3.0,G,IF,0,True
,3.0,3.5,G,IF,0,True
,3.5,4.0,G,IF,0,True
,4.0,4.5,G,IF,0,True
,4.5,5.0,G,IF,0,True
,5.0,5.01,G,IF,0,False
,1.0,1.5,G,VVS1,0,True
,1.5,2.0,G,VVS1,0,True
,2.0,2.5,G,VVS1,110,True
,2.5,3.0,G,VVS1,0,True
,3.0,3.5,G,VVS1,0,True
,3.5,4.0,G,VVS1,0,True
,4.0,4.5,G,VVS1,0,True
,4.5,5.0,G,VVS1,0,True
,5.0,5.01,G,VVS1,0,False
,1.0,1.5,G,VVS2,0,True
,1.5,2.0,G,VVS2,0,True
,2.0,2.5,G,VVS2,0,True
,2.5,3.0,G,VVS2,0,True
,3.0,3.5,G,VVS2,95,True
,3.5,4.0,G,VVS2,0,True
,4.0,4.5,G,VVS2,0,True
,4.5,5.0,G,VVS2,0,True
,5.0,5.01,G,VVS2,100,False
,1.0,1.5,G,VS1,0,True
,1.5,2.0,G,VS1,95,True
,2.0,2.5,G,VS1,95,True
,2.5,3.0,G,VS1,0,True
,3.0,3.5,G,VS1,95,True
,3.5,4.0,G,VS1,0,True
,4.0,4.5,G,VS1,0,True
,4.5,5.0,G,VS1,0,True
,5.0,5.01,G,VS1,98,False
,1.0,1.5,G,VS2,0,True
,1.5,2.0,G,VS2,0,True
,2.0,2.5,G,VS2,0,True
,2.5,3.0,G,VS2,0,True
,3.0,3.5,G,VS2,0,True
,3.5,4.0,G,VS2,0,True
,4.0,4.5,G,VS2,0,True
,4.5,5.0,G,VS2,0,True
,5.0,5.01,G,VS2,0,False
